"x","y"
33218.7915947443,36769.8593840485
33227.2779125148,36775.1492243768
34123.8387803343,33923.2926095849
35515.8786034184,21907.2798400036
35508.5818803753,21914.1178099386
38453.9658821498,26954.2891940909
38473.6228110316,26944.8014569541
38454.9463411619,26943.8760020792
38469.2588669002,26956.4536436809
38464.1090229746,26947.8816558334
14376.1044790142,27722.2980280135
14347.1837453459,27722.6922352451
14364.424637525,27712.066066046
14356.7376768435,27719.7423286152
14366.1414622688,27723.1436253791
18027.4732769371,30859.6339973611
37725.4458214362,25694.4076042415
41967.4712123078,32928.732260671
15322.5035112038,34972.1196107687
15308.1813135388,34982.9101648596
15318.0070944753,34981.0517010394
6868.3466831164,28084.0505121657
6885.82345060038,28075.8153576715
6869.67895183967,28067.2150138739
6879.90982918048,28084.3694024624
6874.35314001866,28076.0553658039
23804.4793632949,18188.0767710986
30211.0144555754,20991.36314894
31550.4403509734,33307.4689195872
31570.8283077312,33306.5402484476
31558.4353618011,33318.8647304113
31558.4317135894,33299.6476400778
31561.204054636,33309.2556640745
17531.2046590664,8106.11647953274
17542.3068454183,8120.38596215895
17533.38121708,8115.87673176266
30930.9272351118,18459.1467337309
30922.085721148,18463.8187387424
8223.91128436595,40387.0009304152
8224.69743350538,40396.9699809984
38669.409164086,30418.546999734
37749.2971467507,31372.6098684661
37767.6909852402,31382.0658605666
37757.3074871615,31365.5905475937
37757.1111338638,31384.4278191504
37760.5725385407,31375.0425018621
28109.1552728721,34901.946647454
28088.4921158431,34909.8056045395
28100.7919166661,34894.4924501421
28097.7808342387,34914.2521202415
28098.9409579737,34904.3196425587
15888.1052180673,38453.8477018298
15879.3938742754,38448.9372548707
37589.3521824776,34226.6476314002
37596.3416485386,34213.4849730895
37586.9570005993,34216.9387222199
29594.8606633727,11205.4945758822
29613.0658083163,11205.9493446519
29604.0664715938,11201.5890764773
26159.6265906341,15331.2978049311
16948.2967578586,33400.556491725
16957.6237364148,33380.8499767379
16941.7194935727,33392.9425010865
16959.279552401,33390.915226247
16949.9465971117,33387.2578931529
37553.2106895182,26633.9850826858
37545.9941822585,26640.9076561214
15580.8893503814,17912.8999143203
15586.3186643026,17921.2976848784
17101.3816485269,27387.0908935873
13094.5226964307,29927.2822151742
13103.1295247107,29944.0104361715
13085.5292854381,29941.810379639
13103.4918898394,29933.0832862906
13094.7481427346,29937.9357997184
29784.3781408087,10251.8432231874
31652.1897332781,17824.310114419
11132.1369984314,39741.7962738497
11154.5741991805,39739.4501844757
11138.1823884616,39749.7620292679
11148.8134208558,39747.6241329153
11141.9906163192,39739.9564415794
30916.1257685114,17838.90261718
30930.504361612,17819.2635133818
30917.4389960739,17828.9892205184
30927.4368282715,17828.7814038626
12737.180706765,31200.1389525285
17031.3153791162,16651.6472862904
17037.8858239334,16636.2964492068
17039.6606889296,16646.1376815608
27190.2317115387,35859.8499876836
33564.2949193078,32981.3934044813
33571.8441331488,32974.8352515109
29547.3939210382,34269.0483744983
29559.5357036708,34254.2187763776
29560.2581384022,34272.3320252145
29555.6757013096,34263.443759338
17495.4417851122,34328.9633573362
17510.4901615339,34342.9804195191
